Model,Target_Level,Display_Category,Actual_ND,Pitch_Entropy
REMI+ (Ours),2,L2,27,3.5599000019230838
REMI+ (Ours),2,L2,24,3.584962500721156
REMI+ (Ours),2,L2,31,3.5482669902102977
REMI+ (Ours),2,L2,25,3.3336606896881857
REMI+ (Ours),2,L2,26,3.4745049881054295
REMI+ (Ours),2,L2,27,3.426209613980979
REMI+ (Ours),2,L2,24,3.688721875540867
REMI+ (Ours),2,L2,25,3.0790795706241747
REMI+ (Ours),2,L2,26,3.734308353573256
REMI+ (Ours),2,L2,26,3.349692968957871
REMI+ (Ours),2,L2,27,3.856196298219379
REMI+ (Ours),2,L2,27,3.884155094595804
REMI+ (Ours),3,L3,30,3.8980685120588383
REMI+ (Ours),3,L3,28,3.869331261111518
REMI+ (Ours),3,L3,29,3.745406425938248
REMI+ (Ours),3,L3,28,3.7498677622562893
REMI+ (Ours),3,L3,30,3.4817276788697358
REMI+ (Ours),3,L3,28,3.5975583870244896
REMI+ (Ours),3,L3,29,3.7883413396567485
REMI+ (Ours),3,L3,30,3.6532359131272916
REMI+ (Ours),3,L3,16,3.375
REMI+ (Ours),3,L3,30,3.6695767463163933
REMI+ (Ours),3,L3,28,3.767375797816042
REMI+ (Ours),3,L3,30,3.939572261986723
REMI+ (Ours),3,L3,30,3.606238928653389
REMI+ (Ours),3,L3,30,3.4729055953200563
REMI+ (Ours),3,L3,30,3.398186431313851
REMI+ (Ours),3,L3,29,3.193682288007213
REMI+ (Ours),3,L3,29,3.7362801326109922
REMI+ (Ours),3,L3,29,3.6764409086968683
REMI+ (Ours),3,L3,28,3.8248629576173565
REMI+ (Ours),3,L3,29,3.443513753449852
REMI+ (Ours),3,L3,29,3.276108478543875
REMI+ (Ours),3,L3,32,3.8667292966721747
REMI+ (Ours),3,L3,29,3.6209360647507713
REMI+ (Ours),3,L3,30,3.6565647621309543
REMI+ (Ours),3,L3,29,3.7883413396567485
REMI+ (Ours),3,L3,29,3.53850987421411
REMI+ (Ours),3,L3,30,4.006238928653389
REMI+ (Ours),3,L3,30,3.7614063297218427
REMI+ (Ours),3,L3,28,3.851823225551766
REMI+ (Ours),3,L3,28,3.937193208607594
REMI+ (Ours),4,L4,32,3.6792292966721747
REMI+ (Ours),4,L4,32,3.7303377974034158
REMI+ (Ours),4,L4,32,3.7386085007312415
REMI+ (Ours),4,L4,32,4.140319531114783
REMI+ (Ours),4,L4,32,3.527518266288633
REMI+ (Ours),4,L4,33,3.9801694078807643
REMI+ (Ours),4,L4,31,3.7442035683118124
REMI+ (Ours),4,L4,31,3.9535656649464275
REMI+ (Ours),4,L4,31,4.002268084440845
REMI+ (Ours),4,L4,31,3.6922796820396573
REMI+ (Ours),4,L4,33,3.737745165456522
REMI+ (Ours),4,L4,31,3.551488456988035
REMI+ (Ours),4,L4,31,4.131300342505361
REMI+ (Ours),4,L4,31,3.7442035683118124
REMI+ (Ours),4,L4,33,3.892878967843302
REMI+ (Ours),4,L4,31,3.5514884569880354
REMI+ (Ours),4,L4,32,3.7150182662886326
REMI+ (Ours),4,L4,34,3.4585193710958055
REMI+ (Ours),4,L4,32,4.054229296672174
REMI+ (Ours),4,L4,31,3.8087196973440705
REMI+ (Ours),4,L4,32,3.9681390622295662
REMI+ (Ours),4,L4,32,3.7806390622295662
REMI+ (Ours),4,L4,32,3.8042292966721747
REMI+ (Ours),4,L4,32,3.890319531114783
REMI+ (Ours),4,L4,33,3.76062054430996
REMI+ (Ours),4,L4,34,3.763358429231108
REMI+ (Ours),4,L4,31,3.4098639561634165
REMI+ (Ours),4,L4,31,4.002268084440845
REMI+ (Ours),4,L4,31,4.050970503935263
REMI+ (Ours),4,L4,32,3.5550365325772653
REMI+ (Ours),5,L5,35,4.0331536461849575
REMI+ (Ours),5,L5,33,3.6512374996300565
REMI+ (Ours),5,L5,35,4.0220005168831525
REMI+ (Ours),5,L5,33,3.6653100283182436
REMI+ (Ours),5,L5,33,3.397766954884594
REMI+ (Ours),5,L5,34,3.9986525468781666
REMI+ (Ours),5,L5,35,3.840156860408859
REMI+ (Ours),5,L5,34,3.4633663427540564
REMI+ (Ours),5,L5,35,3.7998737308598
REMI+ (Ours),5,L5,33,3.899714194788231
REMI+ (Ours),5,L5,34,3.7777768114567865
REMI+ (Ours),5,L5,35,3.5824554315901773
REMI+ (Ours),5,L5,33,3.6394084230978394
REMI+ (Ours),5,L5,33,3.8391081341821702
REMI+ (Ours),5,L5,34,3.7604212095219935
REMI+ (Ours),5,L5,35,3.854163288856661
REMI+ (Ours),5,L5,35,3.7398775745709463
REMI+ (Ours),5,L5,33,3.6542637259970228
REMI+ (Ours),5,L5,33,3.7148697866030833
REMI+ (Ours),5,L5,35,4.093149802473811
REMI+ (Ours),5,L5,35,3.585968376059151
REMI+ (Ours),5,L5,35,3.935727659493042
REMI+ (Ours),5,L5,35,3.6687282889802875
REMI+ (Ours),5,L5,37,3.787042812031905
REMI+ (Ours),5,L5,35,3.690296503327815
REMI+ (Ours),5,L5,35,3.750292659616669
REMI+ (Ours),5,L5,34,3.8443845322359156
REMI+ (Ours),5,L5,36,3.7080030435786817
REMI+ (Ours),5,L5,34,3.679395106517186
REMI+ (Ours),5,L5,33,3.7983512260625822
REMI+ (Ours),6,L6,37,3.7159094486332735
REMI+ (Ours),6,L6,38,3.7764499618411214
REMI+ (Ours),6,L6,37,3.817297284430925
REMI+ (Ours),6,L6,37,4.1416216087552495
REMI+ (Ours),6,L6,36,3.7817536555801707
REMI+ (Ours),6,L6,41,3.8579436276579853
REMI+ (Ours),6,L6,36,3.919381945646371
REMI+ (Ours),6,L6,37,3.7859118936544336
REMI+ (Ours),6,L6,37,3.9723064058771302
REMI+ (Ours),6,L6,36,4.194385682587763
REMI+ (Ours),6,L6,37,4.033513500647142
REMI+ (Ours),6,L6,38,3.925173236956996
REMI+ (Ours),6,L6,37,3.966210122385707
REMI+ (Ours),6,L6,36,3.895638807527667
REMI+ (Ours),6,L6,37,3.848249906801916
REMI+ (Ours),6,L6,37,4.100816878908575
REMI+ (Ours),6,L6,37,3.6535714354857918
REMI+ (Ours),6,L6,36,3.8847954873731343
REMI+ (Ours),6,L6,36,3.731746181697386
REMI+ (Ours),6,L6,37,4.114066203115955
REMI+ (Ours),6,L6,38,3.925173236956996
REMI+ (Ours),6,L6,36,3.7289721408610004
REMI+ (Ours),6,L6,36,4.239097917988786
REMI+ (Ours),6,L6,36,4.107017709595357
REMI+ (Ours),6,L6,38,3.47729034199242
REMI+ (Ours),6,L6,36,3.8400832519721115
REMI+ (Ours),6,L6,37,3.894020001762542
REMI+ (Ours),6,L6,40,3.8873261452560084
